Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,NST%,NST%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
Tennessee St.,OVC,34.6,109,47.7,257,70.7,208,10.2,282,9.8,243,10.0,268,47.3,267,32.5,296,98.0,268
Kansas St.,B12,34.6,110,47.5,263,72.6,149,10.5,300,8.4,77,8.5,116,51.6,159,42.4,71,109.6,57
Weber St.,BSky,34.6,111,54.5,28,75.4,56,5.2,1,7.4,18,9.0,168,40.4,350,38.5,158,103.4,171
Northwestern,B10,34.6,112,47.3,272,71.9,164,9.5,235,7.3,11,6.8,17,58.8,26,38.7,151,106.7,104
Hawaii,BW,34.6,113,49.5,190,74.4,89,8.9,177,9.3,181,10.4,296,50.5,181,41.1,103,101.7,198
Prairie View A&M,SWAC,34.5,114,46.7,294,70.3,224,10.5,299,12.0,352,12.1,350,47.8,257,32.7,293,97.2,280
Charlotte,CUSA,34.5,115,53.6,42,79.2,8,9.2,204,8.4,80,8.8,155,55.4,71,39.8,125,105.0,137
Jacksonville,ASun,34.5,116,47.2,273,69.7,242,9.9,261,8.9,131,9.7,248,49.1,217,31.1,322,100.3,234
Murray St.,OVC,34.5,117,53.2,53,69.4,254,11.0,316,7.9,42,9.2,193,50.8,172,37.8,178,111.6,36
San Jose St.,MWC,34.5,118,48.2,237,65.6,340,8.6,142,9.3,184,10.7,325,53.8,100,44.8,36,99.1,252
Delaware,CAA,34.5,119,54.4,30,74.4,88,8.0,95,9.5,206,8.8,156,48.1,252,38.2,162,107.0,98
Southeastern Louisiana,Slnd,34.4,120,51.9,87,76.3,32,9.3,216,10.3,277,9.7,255,55.8,63,43.2,54,102.9,179
Miami FL,ACC,34.4,121,54.9,24,74.5,86,9.0,189,7.5,24,6.1,6,51.2,165,35.2,241,114.9,18
Marist,MAAC,34.4,122,49.7,181,71.9,165,8.9,173,8.8,118,9.4,217,35.3,358,37.7,181,100.8,216
UNC Greensboro,SC,34.4,123,48.6,220,71.8,169,8.0,96,10.7,308,9.4,212,51.5,160,39.5,131,100.6,223
Marquette,BE,34.4,124,52.6,66,74.1,99,9.1,201,9.7,231,7.5,42,59.3,20,41.8,90,109.2,66
St. Thomas,Sum,34.4,124,52.5,69,77.1,21,10.6,301,5.2,1,7.4,39,44.5,309,49.9,5,106.7,102
Buffalo,MAC,34.4,126,51.6,103,71.6,176,8.5,135,8.7,107,9.9,261,50.1,191,37.2,193,107.0,97
Northwestern St.,Slnd,34.4,127,48.4,232,70.2,228,8.3,118,11.4,343,8.7,145,53.3,110,34.2,262,98.4,263
New Mexico,MWC,34.4,128,48.1,240,74.8,77,8.4,132,8.2,61,7.9,69,44.5,310,37.8,175,106.7,103
Youngstown St.,Horz,34.4,129,50.6,131,76.4,30,8.5,136,8.7,100,8.6,127,45.8,290,38.5,157,102.5,188
San Francisco,WCC,34.3,130,54.4,32,69.0,275,8.9,171,8.5,83,9.4,216,46.4,281,44.7,37,110.8,42
Louisiana,SB,34.3,131,47.0,279,71.1,192,8.8,160,11.8,349,10.1,279,50.4,184,36.8,200,101.6,200
Georgia Tech,ACC,34.3,132,48.6,222,69.3,267,8.4,131,9.5,210,9.4,210,53.1,123,34.6,251,100.3,231
Baylor,B12,34.3,133,53.6,41,69.7,244,7.4,59,9.3,178,8.6,129,56.3,51,38.4,159,117.9,9
Southern Utah,BSky,34.3,134,53.9,38,70.4,218,9.7,244,7.8,35,9.4,214,42.2,337,40.3,110,107.3,89
Northern Arizona,BSky,34.3,135,45.4,325,67.6,307,9.6,242,8.9,128,11.6,347,50.9,171,41.9,85,95.6,306
Miami OH,MAC,34.3,136,49.5,189,80.0,3,8.9,179,8.8,115,6.2,7,49.2,214,42.4,70,103.6,165
Tulsa,Amer,34.2,137,48.5,225,72.6,150,10.9,311,10.6,304,8.4,108,49.0,226,36.1,218,103.7,164
Houston,Amer,34.2,138,55.0,20,66.7,327,6.3,8,9.1,144,7.8,59,59.0,22,38.9,143,117.9,10
James Madison,CAA,34.2,139,50.9,124,70.5,213,7.6,70,9.0,136,8.7,147,45.6,293,35.5,234,102.6,184
Sacred Heart,NEC,34.2,140,50.5,143,73.1,129,10.0,270,10.3,281,9.3,202,53.2,117,38.9,145,101.4,205
South Alabama,SB,34.2,141,52.6,65,70.2,226,6.8,25,8.7,98,10.6,321,45.3,295,34.8,245,103.5,169
Georgetown,BE,34.2,142,43.3,349,74.4,91,11.4,330,9.7,233,9.1,180,47.5,260,36.0,220,104.8,140
Loyola Marymount,WCC,34.2,143,52.3,78,72.1,159,10.4,291,9.6,213,9.6,238,44.7,306,38.1,166,106.1,112
Bellarmine,ASun,34.2,144,54.8,26,74.8,76,7.4,61,8.0,46,7.0,24,52.4,144,41.9,86,108.0,80
Central Connecticut,NEC,34.2,145,42.6,353,70.8,200,11.2,325,10.5,296,10.0,272,49.3,211,39.2,137,91.5,347
Penn St.,B10,34.2,146,49.9,167,73.5,114,10.0,267,9.4,195,9.1,184,49.7,203,42.6,68,105.4,130
Utah St.,MWC,34.1,147,56.2,8,72.1,162,9.1,196,9.1,150,9.2,192,65.6,1,40.1,116,109.9,55
Central Michigan,MAC,34.1,148,45.5,324,69.2,268,9.8,254,9.2,159,10.4,302,49.7,204,40.1,118,96.3,299
Northern Kentucky,Horz,34.1,149,48.3,234,71.2,187,8.2,110,9.5,208,10.4,303,53.0,125,41.6,93,100.9,215
