PLAYERID,PLAYER,PARTNERID,POS,TEAM,OPP,TEAMNAME,STATUS,SPREAD,O/U,TOTAL,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,UD,PP,FPTS,RANGE,FLOOR,CEIL,POWN,SCHEDULE_ID,CORE_ID,CORETEAMID,REFID,OWNERSHIP
1522597,"Christian Anderson",1522597,G,TTU,BAMA,"Texas Tech",ACTIVE,-1.5,164.5,83,39,21.68,4.72,7.25,2.7,3.33,1.49,0.28,28.93,26.4,33.65,1.77,11.97,40.21,40.21,42.02,40M,26.5,57.54,0,12089180,455353,5342,332,35
1610168,"Sidi Gueye",1610168,F,ARIZ,UTST,Arizona,ACTIVE,11.5,154.5,83,1,0.36,0.19,0.04,0.01,0.08,0.02,0.06,0.4,0.55,0.59,0.08,0.23,0.83,0.83,0.8,5M,0,2.05,0,12089240,662568,5345,333,35
1529604,"Eric Freeny",1529604,G,UCLA,UCONN,UCLA,ACTIVE,-4.5,136.5,66,10,1.89,1.65,0.33,0.33,0.45,0.29,0.12,2.22,3.54,3.87,0.41,1.98,5.15,5.15,5.21,12M,0.25,10.17,0,12090740,457470,5381,334,35
1461371,"Rueben Chinyelu",1461371,C,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,26.25,9.99,10.42,0.6,0.01,1.79,0.71,0.99,10.59,20.41,21.01,1.7,11.02,26.72,26.72,26.9,28M,26.9,26.9,0,12090690,288762,5407,335,35
1460282,"Eric Dailey",1460282,F,UCLA,UCONN,UCLA,ACTIVE,-4.5,136.5,66,34,12.29,7.67,1.12,0.97,1.83,1.15,0.42,13.41,19.96,21.08,1.57,8.79,26.06,26.06,26.51,36M,16.35,36.67,0,12090740,282631,5381,336,35
1595010,"Dante Allen",1595010,G,MIA,PUR,"Miami (FL)",ACTIVE,-7.5,147.5,70,26,5.79,2.51,2.18,0.88,0.98,0.69,0.18,7.97,8.3,10.48,0.87,4.69,13.7,13.7,13.89,28M,7.04,20.74,0,12090710,654935,5517,337,35
1461063,"Sam Lewis",1461063,G,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,27,10.42,3.25,1.2,1.66,1.54,0.82,0.24,11.62,13.67,14.87,1.06,4.45,17.74,17.74,18.45,28M,9.36,27.54,0,12089250,289069,5580,338,35
1408439,"Joshua Jefferson",1408439,F,ISU,UK,"Iowa State","D(Ankle - 03/20/2026)",4.5,145.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089190,246054,5438,339,35
1589785,"Tate Sage",1589785,G,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,13,4.1,1.33,0.21,0.45,0.44,0.16,0.2,4.31,5.43,5.64,0.36,1.54,6.65,6.65,6.8,14M,0.87,12.73,0,12090690,652151,5407,340,35
1523620,"Jayden Quaintance",1523620,F,UK,ISU,Kentucky,"O(Knee - 01/25/2026)",-4.5,145.5,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089190,455396,5438,341,35
1521585,"Olivier Rioux",1521585,C,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090690,457575,5407,342,35
1459754,"Milan Momcilovic",1459754,F,ISU,UK,"Iowa State",ACTIVE,4.5,145.5,75,36,17.62,4.19,1.22,3.53,1.06,0.64,0.56,18.84,21.81,23.03,1.2,5.41,27.01,27.01,28.33,40M,17.99,38.67,0,12089190,281800,5438,343,35
1522598,"Leon Horner",1522598,F,TTU,BAMA,"Texas Tech",ACTIVE,-1.5,164.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089180,455375,5342,344,35
1401378,"Jaden Bradley",1401378,G,ARIZ,UTST,Arizona,ACTIVE,11.5,154.5,83,32,12.2,3.45,4.34,0.87,2.3,1.26,0.21,16.54,15.65,19.99,1.47,7.79,24.96,24.96,25.26,34M,14.88,35.64,0,12089240,244973,5345,345,35
1405624,"Kolby King",1405624,G,UTST,ARIZ,"Utah State",ACTIVE,-11.5,154.5,71.5,10.5,3.23,1.82,0.93,0.54,0.51,0.3,0.01,4.16,5.05,5.98,0.31,2.75,7.25,7.25,7.55,12M,0.36,14.74,0,12089240,245095,5345,346,35
1482360,"Jack Francis",1482360,G,TTU,BAMA,"Texas Tech",ACTIVE,-1.5,164.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089180,289228,5342,347,35
1405899,"Oziyah Sellers",1405899,G,STJN,KU,"St. John's (NY)",ACTIVE,-3.5,144.5,74,24,8.69,2.37,0.97,1.73,0.45,0.5,0.11,9.66,11.06,12.03,0.61,3.34,14.37,14.37,14.97,26M,7.18,22.76,0,12090720,245417,5442,348,35
1461350,"Desmond Roberts",1461350,G,UVA,TENN,Virginia,ACTIVE,1.5,137.5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12089250,281809,5580,349,35
1538438,"Dominick Nelson",1538438,G,ISU,UK,"Iowa State",ACTIVE,4.5,145.5,75,8,3.26,1.02,0.4,0.13,0.8,0.26,0.26,3.66,4.28,4.68,0.52,1.42,5.86,5.86,5.85,10M,0,12.58,0,12089190,460490,5438,350,35
1417207,"Donovan Atwell",1417207,F,TTU,BAMA,"Texas Tech",ACTIVE,-1.5,164.5,83,37,17.03,4.22,1.01,4.24,0.58,1.13,0.15,18.04,21.25,22.26,1.28,5.23,26.86,26.86,28.22,40M,17.92,38.52,0,12089180,245795,5342,351,35
1595011,"Salih Altuntas",1595011,C,MIA,PUR,"Miami (FL)",ACTIVE,-7.5,147.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090710,654936,5517,352,35
1420694,"Xaivian Lee",1420694,G,UF,IOWA,Florida,ACTIVE,10.5,145.5,78,29.25,10.83,3.18,4.2,1.71,2.32,1.1,0.05,15.03,14.01,18.21,1.15,7.38,22.07,22.07,23.11,30M,12.55,33.67,0,12090690,250149,5407,353,35
1520761,"Daniel Jacobsen",1520761,C,PUR,MIA,Purdue,ACTIVE,7.5,147.5,77.5,8,3.01,1.69,0.12,0.04,0.4,0.03,0.58,3.13,4.7,4.82,0.61,1.81,6.64,6.64,6.33,10M,6.33,6.33,0,12090710,457503,5517,354,35
1486177,"Xavier Booker",1486177,F,UCLA,UCONN,UCLA,ACTIVE,-4.5,136.5,66,21,6.79,3.72,0.41,0.88,0.75,0.24,1.19,7.2,10.51,10.92,1.43,4.13,15.4,15.4,14.98,22M,6.22,23.74,0,12090740,290759,5381,355,35
1532773,"Isaia Howard",1532773,G,IOWA,UF,Iowa,ACTIVE,-10.5,145.5,67.5,17,5.13,2.83,1.2,0.52,0.69,0.91,0.3,6.33,7.96,9.16,1.21,4.03,13.26,13.26,12.8,18M,3.58,22.02,0,12090690,505495,5407,356,35
